pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_pubdate,disc_facility,disc_telescope,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,glat,glon,sy_dist,sy_disterr1,sy_disterr2
11 Com b,11 Com,b,2,1,Radial Velocity,2007,2008-01,Xinglong Station,2.16 m Telescope,12.200,,,0,4914.89849,39.09289,-39.72855,0,14.900000,,,0,,,,,,,,,G8 III,4874.00,,,0,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,1.978,0.180,-0.159,0,78.28058,264.13775,93.1846000,1.9238000,-1.9238000
11 UMi b,11 UMi,b,1,1,Radial Velocity,2009,2009-10,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,12.300,,,0,4684.81420,794.57500,-794.57500,0,13.800000,,,0,,,,,,,,,K4 III,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,2.430,0.008,-0.008,0,41.04437,108.71900,125.3210000,1.9765000,-1.9765000
14 And b,14 And,b,1,1,Radial Velocity,2008,2008-12,Okayama Astrophysical Observatory,1.88 m Telescope,13.100,,,0,1131.15130,36.23244,-38.77507,0,2.760000,,,0,,,,,,,,,K0 III,4888.00,,,0,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,1.840,0.081,-0.050,0,-21.05141,106.41269,75.4392000,0.7140000,-0.7140000
14 Her b,14 Her,b,1,2,Radial Velocity,2002,2003-01,W. M. Keck Observatory,10 m Keck I Telescope,12.600,,,0,2559.47216,518.69596,-280.64248,0,7.030000,,,0,,,,,144.652,6.279,-3.241,0,K0 V,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0,-0.153,0.012,-0.010,0,46.94447,69.16849,17.9323000,0.0073000,-0.0073000
16 Cyg B b,16 Cyg B,b,3,1,Radial Velocity,1996,1997-07,Multiple Observatories,Multiple Telescopes,13.500,,,0,565.73740,25.42640,-25.42640,0,1.260000,,,0,,,,,,,,,G3 V,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.097,0.009,-0.013,0,13.20446,83.33558,21.1397000,0.0110000,-0.0111000
17 Sco b,17 Sco,b,1,1,Radial Velocity,2020,2020-12,Lick Observatory,Coude Auxiliary Telescope,12.900,,,0,1373.01872,47.67426,-38.13941,0,3.510000,,,0,,,,,,,,,K3 III,4157.00,11.00,-10.00,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,2.254,0.026,-0.024,0,27.34301,1.30262,124.9530000,2.5900000,-2.5900000
18 Del b,18 Del,b,2,1,Radial Velocity,2008,2008-06,Okayama Astrophysical Observatory,1.88 m Telescope,12.500,,,0,2926.24614,50.85255,-24.47279,0,8.230000,,,0,,,,,,,,,G6 III,4980.00,,,0,8.80,0.61,-0.40,0,2.10,0.13,-0.09,0,1.634,0.061,-0.043,0,-21.97480,58.69121,76.2220000,0.6217000,-0.6217000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,1,1,Imaging,2008,2008-12,Gemini Observatory,8.19 m Gemini North Telescope,18.647,,,0,3000.00000,300.00000,-300.00000,0,2.540000,,,0,1700,100,-100,0,,,,,K7 V,4060.00,300.00,-200.00,0,1.31,0.18,-0.10,0,0.85,0.20,-0.10,0,-0.370,0.150,-0.150,0,22.03031,352.89050,139.1350000,1.3320000,-1.3070000
24 Boo b,24 Boo,b,1,1,Radial Velocity,2018,2018-08,Okayama Astrophysical Observatory,1.88 m Telescope,13.900,,,0,280.64248,11.44182,-13.66662,0,0.574000,,,0,,,,,,,,,G3 IV,4816.00,,,0,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,1.877,0.090,-0.095,0,60.64470,90.16373,95.9863000,0.6368500,-0.6368500
24 Sex b,24 Sex,b,1,2,Radial Velocity,2010,2011-01,Lick Observatory,3.0 m C. Donald Shane Telescope,13.400,,,0,632.46000,82.63000,-120.77000,0,1.440000,,,0,,,,,,,,,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,1.164,0.003,-0.003,0,44.71580,245.08569,72.0691000,0.6854000,-0.6728000
24 Sex c,24 Sex,c,1,2,Radial Velocity,2010,2011-01,Lick Observatory,3.0 m C. Donald Shane Telescope,13.900,,,0,273.32000,111.24000,-69.92000,0,0.559000,,,0,,,,,,,,,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,1.164,0.003,-0.003,0,44.71580,245.08569,72.0691000,0.6854000,-0.6728000
2M0437 b,2MASS J04372171+2651014,b,1,1,Imaging,2021,2021-10,Subaru Telescope,8.2 m Subaru Telescope,13.000,,,0,1271.31363,317.82841,-317.82841,0,3.180000,,,0,1450,50,-50,0,,,,,M V,3100.00,100.00,-100.00,0,0.84,0.11,-0.11,0,0.17,0.01,-0.02,0,-1.164,0.003,-0.003,0,-13.44593,172.81975,128.4840000,1.1960000,-1.1740000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,2,1,Imaging,2013,2013-05,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,12.300,,,0,4131.79000,317.83000,-317.83000,0,12.200000,,,0,,,,,,,,,M5.5/M6,,,,,,,,,0.19,0.02,-0.02,0,,,,,-61.77586,299.26888,47.2000000,3.1000000,-3.1000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,b,1,1,Imaging,2013,2013-09,W. M. Keck Observatory,10 m Keck II Telescope,11.209,,,0,7786.50000,794.50000,-794.50000,0,30.400000,,,0,1600,100,-100,0,,,,,M3.5 V,3530.00,50.00,-50.00,0,0.37,0.01,-0.01,0,0.40,0.05,-0.05,0,-1.720,0.110,-0.110,0,-82.51990,195.45385,33.8281000,0.0864000,-0.0860000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,b,1,1,Imaging,2015,2015-06,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,5.770000,,,0,,,,,,,,,M6,3064.00,76.00,-76.00,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,-2.230,0.060,-0.060,0,-67.98402,252.45343,40.0896412,0.1940496,-0.1940496
2MASS J04414489+2301513 b,2MASS J04414489+2301513,b,1,1,Imaging,2010,2010-05,Hubble Space Telescope,2.4 m Hubble Space Telescope,12.600,,,0,2383.60000,794.50000,-794.50000,0,6.550000,,,0,,,,,,,,,M8.5,2936.00,182.00,-182.00,0,0.23,0.01,-0.01,0,0.02,,,0,-2.444,0.131,-0.188,0,-15.11435,176.51065,120.4239870,5.4783417,-5.4783417
2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,1,1,Imaging,2004,2004-10,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,12.900,,,0,1589.15000,635.66000,-635.66000,0,4.070000,,,0,1250,200,-200,0,,,,,M8,2825.00,157.00,-157.00,0,0.22,0.01,-0.01,0,0.02,,,0,-2.561,0.110,-0.148,0,22.54309,293.79011,64.3080000,0.6569000,-0.6440000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,b,2,3,Eclipse Timing Variations,2015,2015-05,Kepler,0.95 m Kepler Telescope,13.400,,,0,603.87700,31.78300,-31.78300,0,1.380000,,,0,,,,,,,,,,29564.00,,,0,0.20,0.00,0.00,0,0.48,,,0,1.450,,,0,11.67426,79.01876,396.3320000,6.3885000,-6.3885000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,b,1,1,Imaging,2016,2017-01,W. M. Keck Observatory,10 m Keck II Telescope,12.300,,,0,3972.87500,476.74500,-476.74500,0,11.700000,,,0,,,,,,,,,K7 V,4045.00,35.00,-35.00,0,0.64,0.06,-0.06,0,0.60,0.05,-0.05,0,-1.021,0.002,-0.002,0,-9.10923,100.74846,69.5737000,0.1592000,-0.1585000
